pipeline_version,n,d,C,repeat,method,runtime_sec,n_times_d,orientation,solver,cond_raw,cond_reg,lambda_min_raw,lambda_min_reg,lambda_max_raw,lambda_max_reg,system_min_singular_value,solver_svd_tolerance,coef_fro_norm,mean_iter,converged,mean_huber_weight,frac_downweighted,ridge_lambda,huber_delta,residual_mode,effective_delta_on_l2_norm,error
main_corrected_inverse_map_2026-08-31_v2,500,300,3,1,RidgeAIME,0.0005597090348601341,150000,X ~= Y A^T,SVD normal-system solve,4.812294087826135,4.81119850263151,34.78687482573964,34.79687482573964,167.40467205785467,167.41467205785466,34.79687482573966,1.6741467205785462e-10,17.766965286205114,1,True,1.0,0.0,0.01,1.0,rms,17.320508075688775,
main_corrected_inverse_map_2026-08-31_v2,500,300,3,1,HuberRidgeAIME,0.0015851249918341637,150000,X ~= Y A^T,SVD normal-system solve,4.748669633689517,4.747564511562537,33.91086306274352,33.92086306274352,161.03148567825366,161.04148567825365,33.920863062743535,1.6104148567825366e-10,17.390010505462197,5,True,0.9625313825252722,0.05,0.01,1.0,rms,17.320508075688775,
main_corrected_inverse_map_2026-08-31_v2,500,300,3,2,AIME,0.0005304580554366112,150000,X ~= Y A^T,SVD normal-system solve,4.772389185170167,4.772389185170167,35.00513495572624,35.00513495572624,167.05812748813008,167.05812748813008,35.00513495572623,1.6705812748813006e-10,17.587278705827583,1,True,1.0,0.0,0.0,1.0,rms,17.320508075688775,
main_corrected_inverse_map_2026-08-31_v2,500,300,3,2,HuberAIME,0.0015807920135557652,150000,X ~= Y A^T,SVD normal-system solve,4.757389258911433,4.757389258911433,33.810151988372056,33.810151988372056,160.84805391164423,160.84805391164423,33.810151988372056,1.6084805391164418e-10,17.318659545505604,5,True,0.9630422229346713,0.05,0.0,1.0,rms,17.320508075688775,
main_corrected_inverse_map_2026-08-31_v2,500,300,3,2,RidgeAIME,0.0005273330025374889,150000,X ~= Y A^T,SVD normal-system solve,4.772389185170167,4.771311825568406,35.00513495572624,35.0151349557262,167.05812748813008,167.06812748813007,35.015134955726225,1.6706812748813004e-10,17.58361970599549,1,True,1.0,0.0,0.01,1.0,rms,17.320508075688775,
main_corrected_inverse_map_2026-08-31_v2,500,300,3,2,HuberRidgeAIME,0.0015812920173630118,150000,X ~= Y A^T,SVD normal-system solve,4.757389250352383,4.756278259115336,33.81015199645842,33.82015199645846,160.84805366073147,160.8580536607315,33.820151996458456,1.6085805366073146e-10,17.314967941301802,5,True,0.9630422214500002,0.05,0.01,1.0,rms,17.320508075688775,
main_corrected_inverse_map_2026-08-31_v2,1000,20,3,0,AIME,0.00022008304949849844,20000,X ~= Y A^T,SVD normal-system solve,4.757286812156671,4.757286812156671,70.0932599953925,70.0932599953925,333.45374139714954,333.45374139714954,70.09325999539251,3.3345374139714955e-10,4.320600662860897,1,True,1.0,0.0,0.0,1.0,rms,4.47213595499958,
main_corrected_inverse_map_2026-08-31_v2,1000,20,3,0,HuberAIME,0.0006488750223070383,20000,X ~= Y A^T,SVD normal-system solve,4.775903928845635,4.775903928845635,67.77461907113403,67.77461907113403,323.6850694978453,323.6850694978453,67.77461907113403,3.2368506949784523e-10,4.340595679429407,5,True,0.9705606295290287,0.048,0.0,1.0,rms,4.47213595499958,
main_corrected_inverse_map_2026-08-31_v2,1000,20,3,0,RidgeAIME,0.00020891695749014616,20000,X ~= Y A^T,SVD normal-system solve,4.757286812156671,4.75675084752216,70.0932599953925,70.10325999539248,333.45374139714954,333.46374139714953,70.10325999539249,3.3346374139714964e-10,4.320152090120236,1,True,1.0,0.0,0.01,1.0,rms,4.47213595499958,
main_corrected_inverse_map_2026-08-31_v2,1000,20,3,0,HuberRidgeAIME,0.0006263749673962593,20000,X ~= Y A^T,SVD normal-system solve,4.77590382458281,4.7753467802555924,67.774620362783,67.78462036278296,323.68506860026326,323.69506860026326,67.78462036278304,3.2369506860026336e-10,4.340125607682353,5,True,0.970560626709405,0.048,0.01,1.0,rms,4.47213595499958,
