pipeline_version,experiment_mode,subset,metric,role,direction,n_repeated_pairs,n_condition_clusters,HRA_mean,RidgeAIME_mean,HRA_minus_Ridge_cluster_mean,CI95_low,CI95_high,median_cluster_difference,wilcoxon_p_on_cluster_means
r5_final_inverse_map_complete_2026-08-31,end_to_end_original_stress,joint_high_stress,clone_mass_ratio,correlated-clone attribution redistribution,descriptive,27,9,0.30405166233877834,0.29929637194622816,0.004755290392550203,0.0003540453082962415,0.011093022923351592,0.0013803556676763955,0.1640625
r5_final_inverse_map_complete_2026-08-31,end_to_end_original_stress,joint_high_stress,clone_topk_infiltration,correlated-clone attribution redistribution,descriptive,27,9,0.14786596119929452,0.15634920634920635,-0.008483245149911816,-0.025061728395061725,0.003527336860670194,0.0,0.4375
r5_final_inverse_map_complete_2026-08-31,end_to_end_original_stress,joint_high_stress,log10_cond_reg,conditioning diagnostic,lower is better,27,9,0.3231976419384814,0.3079217074676464,0.015275934470834961,-0.004389959760066335,0.03629390644985752,0.004369506385197536,0.30078125
r5_final_inverse_map_complete_2026-08-31,end_to_end_original_stress,joint_high_stress,log10_coef_norm,regularization diagnostic,diagnostic only,27,9,1.0691520039522664,1.1118218139927027,-0.04266981004043629,-0.07643357943750438,-0.01358274071344671,-0.02088920379413221,0.02734375
r5_final_inverse_map_complete_2026-08-31,fixed_black_box_contamination,all_outlier_present,clean_target_reconstruction_r2,clean-target inverse reconstruction,higher is better,270,54,0.27065005897871003,0.24293380375384235,0.02771625522486764,0.024211030835838733,0.031619844483418716,0.024814091244657867,1.6256984569330967e-10
r5_final_inverse_map_complete_2026-08-31,fixed_black_box_contamination,all_outlier_present,clean_target_reconstruction_cosine,clean-target inverse reconstruction,higher is better,270,54,0.48549339775323,0.46242533210164827,0.023068065651581846,0.01974281782150485,0.02653550455635398,0.01801688927767292,1.6256984569330967e-10
r5_final_inverse_map_complete_2026-08-31,fixed_black_box_contamination,all_outlier_present,operator_cosine_flat,clean-reference operator recovery,higher is better,270,54,0.9892498301833093,0.9349337048341306,0.05431612534917871,0.04145002959318269,0.0680318539517229,0.030401184355477895,1.6256984569330967e-10
r5_final_inverse_map_complete_2026-08-31,fixed_black_box_contamination,all_outlier_present,operator_spearman_global,clean-reference operator recovery,higher is better,270,54,0.9534496746959354,0.8556165766874246,0.09783309800851088,0.07666006685418283,0.12049403690573864,0.06354482861011848,1.6256984569330967e-10
r5_final_inverse_map_complete_2026-08-31,fixed_black_box_contamination,all_outlier_present,operator_topk_jaccard,clean-reference operator recovery,higher is better,270,54,0.6638790282581132,0.43355664039358566,0.23032238786452755,0.20120334202420548,0.25902759834605377,0.23116492210919454,3.0863627718669526e-10
r5_final_inverse_map_complete_2026-08-31,fixed_black_box_contamination,all_outlier_present,bootstrap_cosine_flat,self-consistency/stability,higher is better,270,54,0.9692281042155981,0.931463088950758,0.037765015264839975,0.03127063026778909,0.04466403092907705,0.02608117926422099,1.6256984569330967e-10
r5_final_inverse_map_complete_2026-08-31,fixed_black_box_contamination,all_outlier_present,irrelevant_decoy_mass_ratio,irrelevant-decoy attribution,lower is better,270,54,0.016652136114433055,0.019844566123466703,-0.0031924300090336467,-0.004059650220840893,-0.002360543002905458,-0.002811781746276415,2.0353988261597178e-10
r5_final_inverse_map_complete_2026-08-31,fixed_black_box_contamination,all_outlier_present,irrelevant_decoy_topk_infiltration,irrelevant-decoy attribution,lower is better,270,54,0.007160493827160494,0.025925925925925925,-0.01876543209876543,-0.026666666666666665,-0.011358024691358026,0.0,5.511143549513056e-05
r5_final_inverse_map_complete_2026-08-31,fixed_black_box_contamination,all_outlier_present,clone_mass_ratio,correlated-clone attribution redistribution,descriptive,270,54,0.14774451552196552,0.14795807967785812,-0.00021356415589256762,-0.0015995402254055328,0.0010017685130606273,0.0,0.7894077402776654
r5_final_inverse_map_complete_2026-08-31,fixed_black_box_contamination,all_outlier_present,clone_topk_infiltration,correlated-clone attribution redistribution,descriptive,270,54,0.0798968253968254,0.082484126984127,-0.0025873015873015873,-0.00803635361552028,0.0029718474426807745,0.0,0.08798418481808766
r5_final_inverse_map_complete_2026-08-31,fixed_black_box_contamination,all_outlier_present,log10_cond_reg,conditioning diagnostic,lower is better,270,54,0.2744846680723384,0.263723593019018,0.010761075053320381,0.007980176483430234,0.01342969212325678,0.012400554559254498,7.94069908729539e-08
r5_final_inverse_map_complete_2026-08-31,fixed_black_box_contamination,all_outlier_present,log10_coef_norm,regularization diagnostic,diagnostic only,270,54,0.9834666724741827,1.021903342499162,-0.038436670024979386,-0.045960514772596356,-0.03161592804871566,-0.027816854442613503,1.6256984569330967e-10
r5_final_inverse_map_complete_2026-08-31,fixed_black_box_contamination,outlier_rate=0.05,clean_target_reconstruction_r2,clean-target inverse reconstruction,higher is better,135,27,0.26959019056546607,0.25126975580134164,0.0183204347641245,0.016333500418711823,0.020416847695354127,0.018282031845153934,1.4901161193847656e-08
r5_final_inverse_map_complete_2026-08-31,fixed_black_box_contamination,outlier_rate=0.05,clean_target_reconstruction_cosine,clean-target inverse reconstruction,higher is better,135,27,0.4845852421216155,0.46805390923796897,0.016531332883646603,0.013500768979475865,0.01984015676202506,0.014738176706611672,1.4901161193847656e-08
r5_final_inverse_map_complete_2026-08-31,fixed_black_box_contamination,outlier_rate=0.05,operator_cosine_flat,clean-reference operator recovery,higher is better,135,27,0.9908075216922746,0.9537298017414889,0.037077719950785876,0.024515169067685295,0.050659117865727285,0.01723040716114239,1.4901161193847656e-08
r5_final_inverse_map_complete_2026-08-31,fixed_black_box_contamination,outlier_rate=0.05,operator_spearman_global,clean-reference operator recovery,higher is better,135,27,0.9584582303273014,0.8938625368433122,0.06459569348398905,0.044783964563612146,0.08778901025071222,0.033815350389321416,1.4901161193847656e-08
r5_final_inverse_map_complete_2026-08-31,fixed_black_box_contamination,outlier_rate=0.05,operator_topk_jaccard,clean-reference operator recovery,higher is better,135,27,0.6885068816441366,0.47585184248410944,0.2126550391600271,0.16319325704172633,0.26078754799902026,0.2171994671994672,1.249286130864847e-05
