dataset,learner,repeat,outlier_rate,clone_frac,condition,method,n_total,n_test,d_before,d_after,n_outlier_rows,n_clones,fit_time_sec,test_accuracy,test_log_loss,explain_time_sec,cond_raw_median,cond_reg_median,lambda_min_raw_median,lambda_min_reg_median,mean_iter,mean_huber_weight,frac_downweighted,coef_l2_norm_mean,bootstrap_topk_jaccard,bootstrap_spearman_global,bootstrap_cosine_flat,bootstrap_relative_l2_similarity,noise_topk_jaccard,noise_spearman_global,noise_cosine_flat,noise_relative_l2_similarity,decoy_decoy_mass_ratio,decoy_decoy_resistance_mass,decoy_decoy_topk_infiltration,decoy_decoy_best_rank,decoy_decoy_best_rank_percentile,error,log10_cond_raw,log10_cond_reg,log10_coef_l2_norm,stress_group
breast_cancer,svm,0,0.0,0.5,out0.00_clone0.50,RidgeAIME,569,171,30,45,0,15,0.0048527920152992,0.9649122807017544,0.0985555585588771,0.000664041028358,1060020.7629879226,225153.12229685736,0.0026968600928576,0.012696860092988,1.0,1.0,0.0,3.5657474073252,0.4104629031099618,0.6098814229249011,0.6986439082476382,0.10850173857985,0.230859010270775,0.53183465085639,0.4216791674961502,0.0104280164301581,0.030469164759873,0.969530835240127,0.0833333333333333,17.75,0.6436170212765958,,6.0253143720221,5.352477973892307,0.5521505751011899,all conditions
breast_cancer,svm,0,0.0,0.5,out0.00_clone0.50,HuberRidgeAIME,569,171,30,45,0,15,0.0048527920152992,0.9649122807017544,0.0985555585588771,0.0007060829666443,1060020.7629879226,225153.12229685736,0.0026968600928576,0.012696860092988,2.0,1.0,0.0,3.5657474073252,0.4104629031099618,0.6111220904699164,0.6987563092846032,0.1097946328366266,0.230859010270775,0.5323781291172596,0.4216417171575402,0.0103969919884451,0.0304686693236188,0.969531330676381,0.0833333333333333,17.75,0.6436170212765958,,6.0253143720221,5.352477973892307,0.5521505751011899,all conditions
breast_cancer,mlp,0,0.0,0.5,out0.00_clone0.50,AIME,569,171,30,45,0,15,0.018354250001721,0.953216374269006,0.1306646682966882,0.0010118340142071,1060020.7629879226,1060020.7629879226,0.0026968600928576,0.0026968600928576,1.0,1.0,0.0,5.725570559354212,0.4048157724628312,0.7265590689503733,0.7528786999432825,0.0233369518761707,0.2885086726998491,0.5905632411067193,0.3494005963279916,0.0639067663177848,0.0220457440854742,0.977954255914526,0.0,22.5,0.5425531914893618,,6.0253143720221,6.0253143720221,0.757818771087456,all conditions
breast_cancer,mlp,0,0.0,0.5,out0.00_clone0.50,HuberAIME,569,171,30,45,0,15,0.018354250001721,0.953216374269006,0.1306646682966882,0.0006960830069147,1060020.7629879226,1060020.7629879226,0.0026968600928576,0.0026968600928576,2.0,1.0,0.0,5.725570559354212,0.4048157724628312,0.7269323671497583,0.7528635061241497,0.0233386546835576,0.2885086726998491,0.5905632411067193,0.3493859855619259,0.0639000543191834,0.0220457440854742,0.977954255914526,0.0,22.5,0.5425531914893618,,6.0253143720221,6.0253143720221,0.757818771087456,all conditions
breast_cancer,mlp,0,0.0,0.5,out0.00_clone0.50,RidgeAIME,569,171,30,45,0,15,0.018354250001721,0.953216374269006,0.1306646682966882,0.0005890409811399,1060020.7629879226,225153.12229685736,0.0026968600928576,0.012696860092988,1.0,1.0,0.0,2.4046453343704823,0.4107681534152123,0.6446420729029424,0.7623243135428078,0.1948212361637352,0.2943802521008403,0.5803359683794466,0.4193335601066145,0.044622109413296,0.0339919632218722,0.9660080367781276,0.1388888888888888,18.75,0.622340425531915,,6.0253143720221,5.352477973892307,0.3810510305292692,all conditions
breast_cancer,mlp,0,0.0,0.5,out0.00_clone0.50,HuberRidgeAIME,569,171,30,45,0,15,0.018354250001721,0.953216374269006,0.1306646682966882,0.0006968340021558,1060020.7629879226,225153.12229685736,0.0026968600928576,0.012696860092988,2.0,1.0,0.0,2.4046453343704823,0.4107681534152123,0.6454545454545454,0.7622103175463865,0.1946224681949445,0.2943802521008403,0.5804347826086956,0.4192850967999471,0.0445878650514394,0.0339919632218722,0.9660080367781276,0.1388888888888888,18.75,0.622340425531915,,6.0253143720221,5.352477973892307,0.3810510305292692,all conditions
breast_cancer,lgbm,0,0.05,0.0,out0.05_clone0.00,AIME,569,171,30,30,28,0,0.9107997919782064,0.9707602339181286,0.1334280589029661,0.0007216669619083,4352.774438952406,4352.774438952406,0.3723619121717102,0.3723619121717102,1.0,1.0,0.0,1.0449233258597612,0.4473443223443223,0.4909529106414534,0.6666665921950153,-0.0469969817803047,0.7234848484848485,0.9347608453837596,0.9869088013114924,0.8261719842318496,0.1419554489293128,0.8580445510706872,0.3333333333333333,4.916666666666667,0.8776041666666666,,3.6387661625728813,3.6387661625728813,0.019084424056939456,all conditions
breast_cancer,lgbm,0,0.05,0.0,out0.05_clone0.00,HuberAIME,569,171,30,30,28,0,0.9107997919782064,0.9707602339181286,0.1334280589029661,0.0010038330219686,4353.046711420588,4353.046711420588,0.3723186327883595,0.3723186327883595,7.5,0.99935295174326,0.0146198830409356,1.044119167812885,0.4565018315018314,0.4980348535409715,0.6632678791601078,-0.0536595935996409,0.7234848484848485,0.9383203559510568,0.987178706675313,0.8282235260627315,0.1436562281374074,0.8563437718625927,0.3333333333333333,4.416666666666667,0.8932291666666666,,3.6387933274843816,3.6387933274843816,0.018750068560922116,all conditions
breast_cancer,lgbm,0,0.05,0.0,out0.05_clone0.00,RidgeAIME,569,171,30,30,28,0,0.9107997919782064,0.9707602339181286,0.1334280589029661,0.0006498339935205,4352.774438952406,4238.961470127644,0.3723619121717102,0.3823619121717697,1.0,1.0,0.0,1.0363034173331471,0.4473443223443223,0.489432703003337,0.6803058209704984,0.0031528036437811,0.7234848484848485,0.9345939933259176,0.9871439918252723,0.8278677676814123,0.119750442560189,0.8802495574398111,0.3055555555555556,5.333333333333333,0.8645833333333334,,3.6387661625728813,3.627259469083673,0.015486930294261505,all conditions
breast_cancer,lgbm,0,0.05,0.0,out0.05_clone0.00,HuberRidgeAIME,569,171,30,30,28,0,0.9107997919782064,0.9707602339181286,0.1334280589029661,0.0011754579609259,4353.046002924448,4239.213089985904,0.3723187787490654,0.3823187787490627,7.5,0.9993542040255936,0.0146198830409356,1.035500707040904,0.4473443223443223,0.4844642195031516,0.6770253452491845,-0.0033599752631565,0.7234848484848485,0.9407675194660734,0.987411102728823,0.8299150525792911,0.1204817331575584,0.8795182668424415,0.3055555555555556,5.333333333333333,0.8645833333333334,,3.638793256799179,3.627285247537569,0.015150399766273156,all conditions
